ID_Dia,ID_Región,Fallecidos
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,RM,1
21,RM,1
22,0,0
23,8,1
24,RM,1
25,8,1
26,9,1
27,9,1
28,7,1
29,5,1
29,RM,1
29,9,1
29,9,1
30,RM,1
30,9,1
30,9,1
30,14,1
31,RM,1
31,9,1
32,RM,1
32,RM,1
32,16,1
32,12,1
33,RM,1
33,16,1
33,9,1
33,9,1
33,12,1
34,RM,1
34,16,1
34,9,1
34,9,1
34,9,1
34,9,1
34,10,1
35,16,1
35,9,1
35,10,1
36,2,1
36,RM,1
36,RM,1
36,7,1
36,16,1
36,14,1
37,5,1
37,RM,1
37,RM,1
37,9,1
37,12,1
38,RM,1
38,RM,1
38,RM,1
38,RM,1
38,RM,1
38,RM,1
38,RM,1
38,16,1
38,9,1
39,RM,1
39,RM,1
39,RM,1
39,RM,1
39,RM,1
39,RM,1
39,RM,1
39,RM,1
40,RM,1
40,RM,1
40,RM,1
40,7,1
40,9,1
40,10,1
40,10,1
40,10,1
41,15,1
41,RM,1
41,RM,1
41,RM,1
41,16,1
41,14,1
41,12,1
42,RM,1
42,12,1
43,RM,1
43,RM,1
43,RM,1
43,RM,1
43,7,1
43,16,1
43,9,1
43,9,1
43,9,1
43,12,1
44,RM,1
44,9,1
45,5,1
45,5,1
45,RM,1
45,RM,1
45,RM,1
45,RM,1
45,RM,1
45,RM,1
45,RM,1
45,16,1
45,16,1
46,15,1
46,RM,1
46,RM,1
46,RM,1
46,7,1
46,7,1
46,7,1
46,16,1
46,8,1
46,9,1
46,10,1
47,RM,1
47,RM,1
47,RM,1
47,RM,1
47,RM,1
47,RM,1
47,RM,1
47,7,1
47,16,1
47,9,1
48,5,1
48,RM,1
48,RM,1
48,RM,1
48,RM,1
48,RM,1
48,16,1
49,RM,1
49,RM,1
49,RM,1
49,RM,1
49,7,1
49,7,1
50,5,1
50,RM,1
50,RM,1
50,6,1
50,8,1
50,9,1
50,9,1
50,12,1
51,2,1
51,5,1
51,RM,1
51,RM,1
51,RM,1
51,RM,1
51,RM,1
51,RM,1
51,RM,1
51,RM,1
51,RM,1
51,8,1
51,9,1
52,RM,1
52,RM,1
52,RM,1
52,RM,1
52,RM,1
52,RM,1
52,RM,1
52,10,1
53,15,1
53,5,1
53,RM,1
53,16,1
53,10,1
53,12,1
54,1,1
54,2,1
54,5,1
54,RM,1
54,RM,1
54,RM,1
54,9,1
55,2,1
55,RM,1
55,RM,1
55,7,1
55,8,1
55,9,1
55,9,1
55,12,1
56,RM,1
56,RM,1
56,RM,1
56,RM,1
56,7,1
56,9,1
56,9,1
56,9,1
56,12,1
57,5,1
57,RM,1
57,RM,1
57,RM,1
57,RM,1
57,RM,1
57,8,1
57,14,1
57,10,1
58,15,1
58,5,1
58,5,1
58,RM,1
58,RM,1
58,RM,1
58,RM,1
58,7,1
58,12,1
59,2,1
59,RM,1
59,RM,1
59,RM,1
59,RM,1
59,RM,1
59,RM,1
59,9,1
59,9,1
59,9,1
59,10,1
60,2,1
60,2,1
60,RM,1
60,RM,1
60,RM,1
60,RM,1
60,9,1
61,5,1
61,RM,1
61,RM,1
61,RM,1
61,RM,1
61,RM,1
61,RM,1
61,RM,1
61,RM,1
61,6,1
61,6,1
61,16,1
61,16,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
62,RM,1
63,RM,1
63,RM,1
63,RM,1
63,RM,1
63,RM,1
63,RM,1
63,RM,1
63,RM,1
63,16,1
63,8,1
64,5,1
64,5,1
64,RM,1
64,RM,1
64,RM,1
65,15,1
65,5,1
65,RM,1
65,RM,1
65,RM,1
65,RM,1
66,15,1
66,5,1
66,RM,1
66,RM,1
67,2,1
67,2,1
67,5,1
67,RM,1
67,RM,1
67,RM,1
67,RM,1
67,RM,1
67,16,1
68,2,1
68,5,1
68,RM,1
68,RM,1
68,RM,1
68,RM,1
68,RM,1
68,RM,1
68,7,1
68,14,1
69,4,1
69,5,1
69,RM,1
69,RM,1
69,RM,1
69,9,1
69,12,1
69,12,1
70,15,1
70,5,1
70,RM,1
70,RM,1
70,RM,1
70,RM,1
70,RM,1
70,RM,1
70,6,1
70,9,1
70,12,1
71,5,1
71,5,1
71,RM,1
71,RM,1
71,RM,1
71,RM,1
71,RM,1
71,RM,1
71,16,1
71,8,1
71,9,1
71,10,1
72,2,1
72,5,1
72,RM,1
72,RM,1
72,RM,1
72,RM,1
72,RM,1
72,RM,1
72,14,1
72,12,1
72,12,1
73,5,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,RM,1
73,16,1
73,9,1
73,9,1
